la plus; la plus; la plus; 
le plus;le plus;le plus;le plus;
avoir une idée présumée sur;collocation;autres;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Prép2
avoir une idée toute faite de;collocation;autres;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Prép2
avoir une idée fausse sur;collocation;autres;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Prép2
avoir une idée fixe;collocation;personnalité;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir une idée toute faite;collocation;personnalité;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir idée de;collocation;autres;;N/A;<ENT><avoir>_<ENT>C1_<ENT>Prép2
avoir une certaine écoute;collocation;conversation;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir de bons bras;collocation;autres;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir de gros besoins;collocation;autres;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir de belles couleurs;expression verbale figée;apparence;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1